Gas,NFR/CRF Group,Source,Activity,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Nitrogen oxides (NOx expressed as NO2),1A2a,Blast furnaces,LPG,kilotonne,0.04764709,0.04764709,0.057176508,0.057176508,0.04764709,0.04764709,0.04764709,0.010210091,0.010210091,0.010210091,-,-,-,-,-,-,-,-,0.001868401,-,0.000306033,-,0.000646277,-,-,-,-,-,-,-,-,-,-
Nitrogen oxides (NOx expressed as NO2),1A2a,Blast furnaces,Natural gas,kilotonne,0.022069283,0.020398745,0.022579048,0.025288599,0.033000023,0.044203734,0.048685219,0.034833357,0.053675963,0.070130255,0.065420016,0.03319655,0.016900268,0.053582864,0.048036361,0.10060874,0.077559538,0.084837135,0.122336233,0.056451871,0.046926431,0.028977687,0.02075118,0.042075317,0.029754448,0.032125672,0.019002428,0.015056137,0.009292881,0.019951979,0.021308953,0.025704548,0.023153387
Nitrogen oxides (NOx expressed as NO2),1A2a,Sinter production,Coke,kilotonne,13.16904417,12.4072659,13.0105833,13.04405524,13.50272032,13.74703974,13.69817586,13.94249529,13.38870458,13.96216106,11.52537057,11.923,7.461,8.23,8.265,8.42,8.81928,8.500248051,7.953122918,6.292,5.081236334,5.761650856,6.237903607,7.337018549,8.423480221,8.310129213,5.992024014,6.361667098,6.466854959,5.928970845,6.445536388,3.397002186,2.891790315
Nitrogen oxides (NOx expressed as NO2),1A2a,Iron and steel - combustion plant,Blast furnace gas,kilotonne,1.424598574,1.488515049,1.41936932,1.354073939,1.320120435,1.354274959,1.401658347,1.487525705,1.412963013,1.347028228,1.227075809,1.105170446,1.019253405,1.169462436,1.17198902,1.009349718,1.166041089,1.251862589,1.097744889,1.084883218,0.859731887,0.70526987,0.783893827,1.779056361,1.500837801,1.286303292,0.471279598,0.66836314,0.61094394,0.734174205,0.738290816,0.751295417,0.709067943
Nitrogen oxides (NOx expressed as NO2),1A2a,Iron and steel - combustion plant,Coal,kilotonne,0.056504234,0.042308829,0.028205886,0.06164141,0.06695238,0.040991253,0.015274122,0.003822577,0.022186668,0.036712146,0.01399299,0.004969617,-,-,-,-,0.0051984,0.365349726,0.332310153,0.287241807,0.308518725,0.251169386,0.242105083,0.254249022,0.259401806,0.212655497,0.165463285,0.158194962,0.163932944,0.114302177,0.14834312,0.099804554,0.129980462
Nitrogen oxides (NOx expressed as NO2),1A2a,Iron and steel - combustion plant,Coke,kilotonne,1.249170156,1.056990132,1.099696804,0.96090012,0.34699171,0.074736676,0.13345835,0.21353336,0.122781682,0.090751678,0.101428346,0.170826688,0.152889886,0.122781682,0.117443348,0.119044848,0.140238034,0.122354615,0.071350313,0.03561696,0.0378162,0.039175278,0.066890924,0.066514953,0.072220484,0.076635949,0.062880267,0.03733499,0.01058271,0.01831145,0.021738548,0.022744181,0.017741887
Nitrogen oxides (NOx expressed as NO2),1A2a,Iron and steel - combustion plant,Coke oven gas,kilotonne,2.764795706,2.724109303,2.604118895,2.539296491,2.473094887,2.476198087,2.375171681,2.478956487,2.224838871,2.120933775,2.105338497,1.570307877,1.271231262,1.170918909,0.960130683,1.240693739,1.143555438,1.036324239,0.751776057,0.783045836,0.810515195,0.86646305,0.872388107,0.733171941,0.394908987,0.747717271,0.320316399,0.544607568,0.449978869,0.42256638,0.484170879,0.441865229,0.453715542
Nitrogen oxides (NOx expressed as NO2),1A2a,Iron and steel - combustion plant,Fuel oil,kilotonne,0.475084858,0.652317833,0.636776143,1.31140071,1.15727142,1.069925945,0.345326815,0.49066239,0.984385102,1.451766232,1.151527471,1.336985159,1.056937545,0.565994836,0.64632077,0.554901779,0.490541858,0.652961485,0.571998593,0.626928295,0.22009663,0.122060204,0.101884864,0.065676278,0.053469885,0.104197179,0.041433723,0.044834747,0.059492151,0.05053106,0.070736617,0.087865384,0.095845237
Nitrogen oxides (NOx expressed as NO2),1A2a,Iron and steel - combustion plant,Gas oil,kilotonne,0.60569319,0.629258949,0.630297381,0.622491419,0.598534745,0.559438776,0.615061441,0.603749968,0.643737883,0.529046908,1.446317788,0.208026862,0.215098112,0.252680946,0.237743001,0.206668482,0.177957458,0.115569307,0.059035418,0.040642612,0.070527298,0.044530101,0.043893411,0.05232631,0.062160151,0.071716809,0.053108985,0.048686225,0.054343166,0.042246538,0.045886233,0.066903987,0.077717467
Nitrogen oxides (NOx expressed as NO2),1A2a,Iron and steel - combustion plant,LPG,kilotonne,0.034668271,0.034672908,0.02514349,0.02514349,0.034672908,0.033926805,0.020831715,0.058261007,0.071470636,0.071470636,0.081680726,-,0.033744323,-,-,-,-,-,0.014777357,0.012312784,0.005338573,-,0.007483212,0.002516525,0.010067973,0.00754991,0.002072643,0.002547984,0.00377335,0.005881715,0.003773813,0.003366711,0.003163329
